@relation Features-weka.filters.unsupervised.attribute.Remove-R2-4

@attribute label {False,True}
@attribute Cosine numeric

@data
False,0.095346
True,0
False,0.104257
True,0.261116
False,0.080845
True,0.144338
True,0.478091
False,0.25
True,0.408248
True,0.298279
True,0.314485
False,0.259281
True,0
True,0.066815
True,0.288675
True,0.569803
True,0.100504
True,0.626224
False,0.075378
True,0.42796
True,0.26688
False,0.147442
False,0.149071
False,0
True,0.074536
True,0.353553
False,0.143223
False,0.125988
True,0.609272
True,0.339683
True,0.521749
False,0.188608
True,0.386118
False,0
True,0.301511
False,0
False,0.258199
False,0.125
True,0.471405
True,0.160128
False,0
False,0
True,0.379628
True,0.4
False,0
False,0
True,0
True,0.707107
True,0
True,0.565685
True,0.27501
True,0.441942
False,0.182574
True,0.258199
False,0
True,0.235702
False,0
True,0.353009
True,0.123091
False,0.1
True,0.2
False,0.242536
True,0.657376
True,0.441942
True,0
False,0
False,0.345857
True,0.227921
False,0.140028
True,0.39036
False,0.16169
False,0
False,0.182574
True,0.455842
False,0
False,0.299392
True,0.272166
False,0.117851
True,0.341882
True,0
True,0.154303
True,0.306186
True,0.57735
False,0.13484
False,0
False,0.125988
False,0
True,0.3114
False,0.043644
True,0.418121
False,0
True,0.062622
True,0
True,0.402015
True,0.125988
False,0.152944
False,0
False,0
False,0
False,0.253546
False,0.223607
False,0
False,0.218218
True,0.471405
False,0
False,0.119523
True,0.298807
False,0.161165
False,0.226455
False,0
False,0.072548
False,0.187867
True,0.32969
False,0
False,0
True,0.436436
False,0
True,0
False,0
True,0
False,0.617213
True,0.501745
False,0.090909
True,0.308607
True,0.555556
True,0.355409
True,0.062869
True,0.267261
True,0.487088
True,0.204124
False,0
False,0
True,0.565916
False,0
False,0
True,0
True,0
True,0.133631
True,0.141421
False,0.258199
False,0.166667
False,0.283473
True,0.527046
True,0.223607
False,0.071067
False,0.170941
False,0.052414
False,0.298142
False,0.091287
False,0
True,0.587975
True,0.21693
True,0.080845
False,0.166667
True,0.326357
False,0.400892
False,0
False,0.283473
False,0
True,0.182574
True,0.402015
False,0
True,0.381385
True,0
False,0
True,0.219382
True,0
True,0.135769
True,0.288675
False,0.069007
True,0.333333
False,0.099015
False,0
True,0.172133
False,0.134535
True,0.447214
False,0
False,0
False,0.080064
True,0.362329
True,0.251976
True,0.702959
False,0
True,0.54272
False,0.117851
False,0.320256
False,0
True,0.402015
False,0.327327
True,0.428746
False,0
False,0
False,0.109109
True,0.400066
True,0
True,0.40685
True,0
False,0.261116
False,0.547723
True,0.231455
False,0.353553
False,0.523217
True,0.210819
False,0
True,0.341882
False,0
True,0.246183
True,0
True,0.375735
False,0.171499
False,0.226134
False,0.172133
False,0.273861
False,0.104828
False,0
False,0
False,0.316228
False,0.114332
False,0.100504
False,0
True,0.666667
False,0
False,0.267261
False,0.123091
